timestamp, index, pstate, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/08/12 07:30:08.101, 0, P0, 0 MiB, 0 %, 243.59 W
2026/08/12 07:30:08.103, 1, P0, 0 MiB, 0 %, 240.54 W
2026/08/12 07:30:08.104, 2, P0, 0 MiB, 0 %, 236.88 W
2026/08/12 07:30:08.106, 3, P0, 0 MiB, 0 %, 239.44 W
2026/08/12 07:30:08.108, 4, P0, 0 MiB, 0 %, 235.67 W
2026/08/12 07:30:08.109, 5, P0, 0 MiB, 0 %, 244.50 W
2026/08/12 07:30:08.111, 6, P0, 0 MiB, 0 %, 242.37 W
2026/08/12 07:30:08.113, 7, P0, 0 MiB, 0 %, 243.25 W
2026/08/12 07:30:09.115, 0, P0, 0 MiB, 0 %, 243.55 W
2026/08/12 07:30:09.115, 1, P0, 0 MiB, 0 %, 240.48 W
2026/08/12 07:30:09.115, 2, P0, 0 MiB, 0 %, 236.96 W
2026/08/12 07:30:09.115, 3, P0, 0 MiB, 0 %, 239.44 W
2026/08/12 07:30:09.115, 4, P0, 0 MiB, 0 %, 235.64 W
2026/08/12 07:30:09.115, 5, P0, 0 MiB, 0 %, 244.52 W
2026/08/12 07:30:09.115, 6, P0, 0 MiB, 0 %, 242.47 W
2026/08/12 07:30:09.115, 7, P0, 0 MiB, 0 %, 243.29 W
2026/08/12 07:30:10.115, 0, P0, 0 MiB, 0 %, 243.61 W
2026/08/12 07:30:10.115, 1, P0, 0 MiB, 0 %, 240.56 W
2026/08/12 07:30:10.116, 2, P0, 0 MiB, 0 %, 236.93 W
2026/08/12 07:30:10.117, 3, P0, 0 MiB, 0 %, 239.50 W
2026/08/12 07:30:10.118, 4, P0, 0 MiB, 0 %, 235.63 W
2026/08/12 07:30:10.119, 5, P0, 0 MiB, 0 %, 244.48 W
2026/08/12 07:30:10.119, 6, P0, 0 MiB, 0 %, 242.38 W
2026/08/12 07:30:10.121, 7, P0, 0 MiB, 0 %, 243.25 W
2026/08/12 07:30:11.121, 0, P0, 4 MiB, 0 %, 243.80 W
2026/08/12 07:30:11.121, 1, P0, 4 MiB, 0 %, 240.84 W
2026/08/12 07:30:11.122, 2, P0, 4 MiB, 0 %, 237.18 W
2026/08/12 07:30:11.169, 3, P0, 4 MiB, 0 %, 239.74 W
2026/08/12 07:30:11.180, 4, P0, 1 MiB, 0 %, 235.70 W
2026/08/12 07:30:11.181, 5, P0, 1 MiB, 0 %, 244.45 W
2026/08/12 07:30:11.182, 6, P0, 1 MiB, 0 %, 242.43 W
2026/08/12 07:30:11.193, 7, P0, 1 MiB, 0 %, 243.27 W
2026/08/12 07:30:12.204, 0, P0, 4 MiB, 0 %, 243.68 W
2026/08/12 07:30:12.205, 1, P0, 4 MiB, 0 %, 240.75 W
2026/08/12 07:30:12.206, 2, P0, 4 MiB, 0 %, 237.11 W
2026/08/12 07:30:12.207, 3, P0, 4 MiB, 0 %, 239.80 W
2026/08/12 07:30:12.207, 4, P0, 4 MiB, 0 %, 236.37 W
2026/08/12 07:30:12.208, 5, P0, 4 MiB, 0 %, 244.93 W
2026/08/12 07:30:12.255, 6, P0, 1 MiB, 0 %, 242.43 W
2026/08/12 07:30:12.266, 7, P0, 1 MiB, 0 %, 243.27 W
2026/08/12 07:30:13.267, 0, P0, 4 MiB, 0 %, 243.65 W
2026/08/12 07:30:13.269, 1, P0, 4 MiB, 0 %, 240.70 W
2026/08/12 07:30:13.280, 2, P0, 4 MiB, 0 %, 237.02 W
2026/08/12 07:30:13.281, 3, P0, 4 MiB, 0 %, 239.60 W
2026/08/12 07:30:13.282, 4, P0, 4 MiB, 0 %, 236.40 W
2026/08/12 07:30:13.293, 5, P0, 4 MiB, 0 %, 245.28 W
2026/08/12 07:30:13.304, 6, P0, 4 MiB, 0 %, 243.59 W
2026/08/12 07:30:13.305, 7, P0, 4 MiB, 0 %, 243.66 W
2026/08/12 07:30:14.306, 0, P0, 4 MiB, 0 %, 243.55 W
2026/08/12 07:30:14.306, 1, P0, 4 MiB, 0 %, 240.59 W
2026/08/12 07:30:14.306, 2, P0, 4 MiB, 0 %, 237.01 W
2026/08/12 07:30:14.306, 3, P0, 4 MiB, 0 %, 239.63 W
2026/08/12 07:30:14.306, 4, P0, 4 MiB, 0 %, 236.37 W
2026/08/12 07:30:14.306, 5, P0, 4 MiB, 0 %, 245.17 W
2026/08/12 07:30:14.306, 6, P0, 4 MiB, 0 %, 243.21 W
2026/08/12 07:30:14.306, 7, P0, 4 MiB, 0 %, 244.12 W
2026/08/12 07:30:15.306, 0, P0, 4 MiB, 0 %, 243.59 W
2026/08/12 07:30:15.306, 1, P0, 4 MiB, 0 %, 240.52 W
2026/08/12 07:30:15.306, 2, P0, 4 MiB, 0 %, 237.09 W
2026/08/12 07:30:15.306, 3, P0, 4 MiB, 0 %, 239.57 W
2026/08/12 07:30:15.306, 4, P0, 4 MiB, 0 %, 236.26 W
2026/08/12 07:30:15.306, 5, P0, 4 MiB, 0 %, 245.09 W
2026/08/12 07:30:15.306, 6, P0, 4 MiB, 0 %, 243.22 W
2026/08/12 07:30:15.306, 7, P0, 4 MiB, 0 %, 243.82 W
2026/08/12 07:30:16.306, 0, P0, 4 MiB, 0 %, 243.59 W
2026/08/12 07:30:16.306, 1, P0, 4 MiB, 0 %, 240.52 W
2026/08/12 07:30:16.306, 2, P0, 4 MiB, 0 %, 237.04 W
2026/08/12 07:30:16.306, 3, P0, 4 MiB, 0 %, 239.56 W
2026/08/12 07:30:16.306, 4, P0, 4 MiB, 0 %, 236.24 W
2026/08/12 07:30:16.306, 5, P0, 4 MiB, 0 %, 245.01 W
2026/08/12 07:30:16.306, 6, P0, 4 MiB, 0 %, 243.19 W
2026/08/12 07:30:16.306, 7, P0, 4 MiB, 0 %, 243.88 W
2026/08/12 07:30:17.306, 0, P0, 4 MiB, 0 %, 243.56 W
2026/08/12 07:30:17.307, 1, P0, 4 MiB, 0 %, 240.56 W
2026/08/12 07:30:17.308, 2, P0, 4 MiB, 0 %, 236.97 W
2026/08/12 07:30:17.308, 3, P0, 4 MiB, 0 %, 239.55 W
2026/08/12 07:30:17.309, 4, P0, 4 MiB, 0 %, 236.33 W
2026/08/12 07:30:17.310, 5, P0, 4 MiB, 0 %, 245.15 W
2026/08/12 07:30:17.311, 6, P0, 4 MiB, 0 %, 243.14 W
2026/08/12 07:30:17.312, 7, P0, 4 MiB, 0 %, 243.94 W
2026/08/12 07:30:18.312, 0, P0, 4 MiB, 0 %, 243.57 W
2026/08/12 07:30:18.313, 1, P0, 4 MiB, 0 %, 240.54 W
2026/08/12 07:30:18.313, 2, P0, 4 MiB, 0 %, 236.92 W
2026/08/12 07:30:18.313, 3, P0, 4 MiB, 0 %, 239.43 W
2026/08/12 07:30:18.313, 4, P0, 4 MiB, 0 %, 236.32 W
2026/08/12 07:30:18.313, 5, P0, 4 MiB, 0 %, 245.15 W
2026/08/12 07:30:18.313, 6, P0, 4 MiB, 0 %, 243.16 W
2026/08/12 07:30:18.313, 7, P0, 4 MiB, 0 %, 243.93 W
2026/08/12 07:30:19.313, 0, P0, 4 MiB, 0 %, 243.55 W
2026/08/12 07:30:19.313, 1, P0, 4 MiB, 0 %, 240.54 W
2026/08/12 07:30:19.313, 2, P0, 4 MiB, 0 %, 236.97 W
2026/08/12 07:30:19.313, 3, P0, 4 MiB, 0 %, 239.52 W
2026/08/12 07:30:19.313, 4, P0, 4 MiB, 0 %, 236.33 W
2026/08/12 07:30:19.313, 5, P0, 4 MiB, 0 %, 245.17 W
2026/08/12 07:30:19.313, 6, P0, 4 MiB, 0 %, 243.09 W
2026/08/12 07:30:19.313, 7, P0, 4 MiB, 0 %, 243.98 W
2026/08/12 07:30:20.313, 0, P0, 4 MiB, 0 %, 243.56 W
2026/08/12 07:30:20.313, 1, P0, 4 MiB, 0 %, 240.52 W
2026/08/12 07:30:20.313, 2, P0, 4 MiB, 0 %, 236.99 W
2026/08/12 07:30:20.313, 3, P0, 4 MiB, 0 %, 239.45 W
2026/08/12 07:30:20.313, 4, P0, 4 MiB, 0 %, 236.32 W
2026/08/12 07:30:20.313, 5, P0, 4 MiB, 0 %, 245.16 W
2026/08/12 07:30:20.313, 6, P0, 4 MiB, 0 %, 243.13 W
2026/08/12 07:30:20.313, 7, P0, 4 MiB, 0 %, 244.01 W
2026/08/12 07:30:21.313, 0, P0, 4 MiB, 0 %, 243.56 W
2026/08/12 07:30:21.313, 1, P0, 4 MiB, 0 %, 240.51 W
2026/08/12 07:30:21.313, 2, P0, 4 MiB, 0 %, 237.01 W
2026/08/12 07:30:21.313, 3, P0, 4 MiB, 0 %, 239.54 W
2026/08/12 07:30:21.313, 4, P0, 4 MiB, 0 %, 236.35 W
2026/08/12 07:30:21.313, 5, P0, 4 MiB, 0 %, 245.19 W
2026/08/12 07:30:21.313, 6, P0, 4 MiB, 0 %, 243.12 W
2026/08/12 07:30:21.313, 7, P0, 4 MiB, 0 %, 243.97 W
2026/08/12 07:30:22.314, 0, P0, 4 MiB, 0 %, 243.46 W
2026/08/12 07:30:22.314, 1, P0, 4 MiB, 0 %, 240.51 W
2026/08/12 07:30:22.314, 2, P0, 4 MiB, 0 %, 236.95 W
2026/08/12 07:30:22.314, 3, P0, 4 MiB, 0 %, 239.53 W
2026/08/12 07:30:22.314, 4, P0, 4 MiB, 0 %, 236.28 W
2026/08/12 07:30:22.314, 5, P0, 4 MiB, 0 %, 245.26 W
2026/08/12 07:30:22.314, 6, P0, 4 MiB, 0 %, 243.17 W
2026/08/12 07:30:22.314, 7, P0, 4 MiB, 0 %, 243.92 W
2026/08/12 07:30:23.314, 0, P0, 4 MiB, 0 %, 243.66 W
2026/08/12 07:30:23.316, 1, P0, 4 MiB, 0 %, 240.74 W
2026/08/12 07:30:23.317, 2, P0, 4 MiB, 0 %, 237.13 W
2026/08/12 07:30:23.318, 3, P0, 4 MiB, 0 %, 239.49 W
2026/08/12 07:30:23.319, 4, P0, 4 MiB, 0 %, 236.41 W
2026/08/12 07:30:23.319, 5, P0, 4 MiB, 0 %, 245.23 W
2026/08/12 07:30:23.321, 6, P0, 4 MiB, 0 %, 243.13 W
2026/08/12 07:30:23.321, 7, P0, 4 MiB, 0 %, 243.89 W
2026/08/12 07:30:24.322, 0, P0, 4 MiB, 0 %, 243.68 W
2026/08/12 07:30:24.326, 1, P0, 4 MiB, 0 %, 240.78 W
2026/08/12 07:30:24.326, 2, P0, 4 MiB, 0 %, 237.12 W
2026/08/12 07:30:24.337, 3, P0, 4 MiB, 0 %, 239.67 W
2026/08/12 07:30:24.338, 4, P0, 4 MiB, 0 %, 236.53 W
2026/08/12 07:30:24.349, 5, P0, 4 MiB, 0 %, 245.36 W
2026/08/12 07:30:24.350, 6, P0, 4 MiB, 0 %, 243.41 W
2026/08/12 07:30:24.361, 7, P0, 4 MiB, 0 %, 244.03 W
2026/08/12 07:30:25.373, 0, P0, 4 MiB, 0 %, 243.71 W
2026/08/12 07:30:25.373, 1, P0, 4 MiB, 0 %, 240.64 W
2026/08/12 07:30:25.373, 2, P0, 4 MiB, 0 %, 237.18 W
2026/08/12 07:30:25.373, 3, P0, 4 MiB, 0 %, 239.69 W
2026/08/12 07:30:25.373, 4, P0, 4 MiB, 0 %, 236.45 W
2026/08/12 07:30:25.373, 5, P0, 4 MiB, 0 %, 245.26 W
2026/08/12 07:30:25.373, 6, P0, 4 MiB, 0 %, 243.38 W
2026/08/12 07:30:25.373, 7, P0, 4 MiB, 0 %, 244.03 W
2026/08/12 07:30:26.373, 0, P0, 4 MiB, 0 %, 243.53 W
2026/08/12 07:30:26.373, 1, P0, 4 MiB, 0 %, 240.55 W
2026/08/12 07:30:26.373, 2, P0, 4 MiB, 0 %, 237.13 W
2026/08/12 07:30:26.373, 3, P0, 4 MiB, 0 %, 239.50 W
2026/08/12 07:30:26.373, 4, P0, 4 MiB, 0 %, 236.31 W
2026/08/12 07:30:26.373, 5, P0, 4 MiB, 0 %, 245.18 W
2026/08/12 07:30:26.373, 6, P0, 4 MiB, 0 %, 243.08 W
2026/08/12 07:30:26.373, 7, P0, 4 MiB, 0 %, 243.89 W
2026/08/12 07:30:27.374, 0, P0, 4 MiB, 0 %, 243.55 W
2026/08/12 07:30:27.374, 1, P0, 4 MiB, 0 %, 240.49 W
2026/08/12 07:30:27.374, 2, P0, 4 MiB, 0 %, 237.02 W
2026/08/12 07:30:27.374, 3, P0, 4 MiB, 0 %, 239.53 W
2026/08/12 07:30:27.374, 4, P0, 4 MiB, 0 %, 236.36 W
2026/08/12 07:30:27.374, 5, P0, 4 MiB, 0 %, 245.16 W
2026/08/12 07:30:27.374, 6, P0, 4 MiB, 0 %, 243.10 W
2026/08/12 07:30:27.374, 7, P0, 4 MiB, 0 %, 243.88 W
2026/08/12 07:30:28.374, 0, P0, 4 MiB, 0 %, 243.47 W
2026/08/12 07:30:28.374, 1, P0, 4 MiB, 0 %, 240.55 W
2026/08/12 07:30:28.374, 2, P0, 4 MiB, 0 %, 237.03 W
2026/08/12 07:30:28.374, 3, P0, 4 MiB, 0 %, 239.51 W
2026/08/12 07:30:28.374, 4, P0, 4 MiB, 0 %, 236.33 W
2026/08/12 07:30:28.374, 5, P0, 4 MiB, 0 %, 245.07 W
2026/08/12 07:30:28.374, 6, P0, 4 MiB, 0 %, 243.12 W
2026/08/12 07:30:28.374, 7, P0, 4 MiB, 0 %, 243.90 W
2026/08/12 07:30:29.374, 0, P0, 4 MiB, 0 %, 243.51 W
2026/08/12 07:30:29.374, 1, P0, 4 MiB, 0 %, 240.51 W
2026/08/12 07:30:29.374, 2, P0, 4 MiB, 0 %, 236.94 W
2026/08/12 07:30:29.374, 3, P0, 4 MiB, 0 %, 239.43 W
2026/08/12 07:30:29.374, 4, P0, 4 MiB, 0 %, 236.28 W
2026/08/12 07:30:29.374, 5, P0, 4 MiB, 0 %, 245.12 W
