window_id,source,segment,split,cutoff_ms,history_seconds,horizon_seconds,history_count,history_rps,history_interarrival_cv,history_peak_to_mean_1s,history_fano_1s,history_input_mean,history_input_p50,history_input_p90,history_input_p99,history_output_mean,history_output_p50,history_output_p90,history_output_p99,history_lm_correlation,history_input_log2_hist,history_output_log2_hist,future_count,future_rps,future_input_mean,future_input_p90,future_output_mean,future_output_p90,future_input_log2_hist,future_output_log2_hist
burstgpt_1-473705000,burstgpt,burstgpt_1,train,473705000,300,60,36,0.12,0.918201817985372,16.666666666666668,0.9911111111111112,380.3611111111111,259.0,756.0,1623.249999999999,151.19444444444446,51.5,360.0,784.6999999999994,0.12033758441201081,"[0,0,0,0,4,3,1,10,8,8,2,0,0,0,0,0,0,0]","[0,0,1,1,5,12,3,6,7,1,0,0,0,0,0,0,0,0]",7,0.11666666666666667,570.5714285714286,1082.6,148.28571428571428,311.6,"[0,0,0,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0]","[0,0,0,1,1,2,0,0,3,0,0,0,0,0,0,0,0,0]"
burstgpt_1-820805000,burstgpt,burstgpt_1,train,820805000,300,60,1175,3.9166666666666665,13.786125259602068,3.8297872340425534,6.087588652482269,84.64,82.0,91.0,107.25999999999999,17.937021276595743,18.0,28.0,59.51999999999998,0.4808084807612403,"[0,0,0,1,0,9,1160,1,2,0,2,0,0,0,0,0,0,0]","[0,141,101,317,566,40,3,6,1,0,0,0,0,0,0,0,0,0]",2,0.03333333333333333,313.5,317.9,23.5,24.7,"[0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0]","[0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0]"
burstgpt_1-3064205000,burstgpt,burstgpt_1,train,3064205000,300,60,4765,15.883333333333333,3.959689671107226,1.825813221406086,2.8933718083245896,274.6289611752361,238.0,433.0,692.0,3.8174186778593913,1.0,4.0,11.0,0.11024664582797061,"[0,0,0,1,0,3,5,2816,1677,260,3,0,0,0,0,0,0,0]","[2456,1,2237,28,19,9,3,4,4,3,1,0,0,0,0,0,0,0]",976,16.266666666666666,284.05737704918033,449.0,4.050204918032787,4.0,"[0,0,0,1,2,0,0,525,394,53,1,0,0,0,0,0,0,0]","[513,0,403,39,15,2,1,1,2,0,0,0,0,0,0,0,0,0]"
burstgpt_1-5261105000,burstgpt,burstgpt_1,train,5261105000,300,60,6,0.02,0.7649713582976059,50.0,0.9799999999999996,2549.8333333333335,3243.5,4222.5,4703.55,449.0,345.0,985.5,1396.3500000000001,0.4706661968877617,"[0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0]","[0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0]",2,0.03333333333333333,14954.5,26722.9,642.0,642.8,"[0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0]","[0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0]"
burstgpt_2-5303114000,burstgpt,burstgpt_2,validation,5303114000,300,60,1,0.0033333333333333335,0.0,300.0,0.9966666666666666,694.0,694.0,694.0,694.0,410.0,410.0,410.0,410.0,0.0,"[0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0]",4,0.06666666666666667,1980.25,5128.300000000001,247.5,407.5,"[0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0]","[0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0]"
burstgpt_2-6635114000,burstgpt,burstgpt_2,validation,6635114000,300,60,463,1.5433333333333332,1.265398821969027,2.591792656587473,0.6445716342692586,184.68250539956804,208.0,246.8,383.2599999999999,16.21598272138229,7.0,30.0,92.17999999999995,0.7090590547449066,"[0,0,0,1,0,1,164,264,30,1,2,0,0,0,0,0,0,0]","[0,0,261,99,59,34,6,2,1,1,0,0,0,0,0,0,0,0]",102,1.7,176.63725490196077,248.60000000000002,14.892156862745098,34.900000000000006,"[0,0,0,0,0,0,39,54,8,1,0,0,0,0,0,0,0,0]","[0,0,53,22,15,10,2,0,0,0,0,0,0,0,0,0,0,0]"
burstgpt_2-7308914000,burstgpt,burstgpt_2,validation,7308914000,300,60,39,0.13,1.553895216077513,153.84615384615384,10.664871794871797,450.35897435897436,210.0,1407.6000000000001,2869.599999999995,333.97435897435895,309.0,596.2,643.92,0.0704884857445375,"[0,0,0,0,2,0,9,18,2,2,5,1,0,0,0,0,0,0]","[0,0,0,1,3,0,2,9,14,10,0,0,0,0,0,0,0,0]",5,0.08333333333333333,208.0,520.8000000000001,346.6,553.4,"[0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0]","[0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0]"
burstgpt_2-8089814000,burstgpt,burstgpt_2,test,8089814000,300,60,14,0.04666666666666667,0.8209045605432225,21.428571428571427,0.9533333333333331,1098.142857142857,584.5,2050.0000000000005,5427.069999999997,382.2142857142857,333.0,695.8,851.8599999999999,0.6762997010582004,"[0,0,0,0,2,0,1,1,3,2,3,1,1,0,0,0,0,0]","[0,0,0,0,0,1,1,4,5,3,0,0,0,0,0,0,0,0]",4,0.06666666666666667,325.0,565.5000000000001,178.0,378.0,"[0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0]","[0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0]"
burstgpt_2-10191314000,burstgpt,burstgpt_2,test,10191314000,300,60,2330,7.766666666666667,13.83669005830323,5.278969957081545,20.93719599427754,208.1128755364807,200.0,211.0,222.0,8.565665236051503,7.0,7.0,7.0,0.6320343881758271,"[0,0,0,1,1,0,0,2320,0,2,3,0,3,0,0,0,0,0]","[0,0,2320,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0]",401,6.683333333333334,203.77057356608478,211.0,7.221945137157107,7.0,"[0,0,0,0,0,0,0,400,0,0,1,0,0,0,0,0,0,0]","[0,0,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]"
burstgpt_2-10354514000,burstgpt,burstgpt_2,test,10354514000,300,60,563,1.8766666666666667,4.986788061184087,11.190053285968029,17.489230313795154,223.2113676731794,200.0,211.0,592.3999999999974,19.373001776198933,7.0,7.0,449.77999999999986,0.6899182008951161,"[0,0,0,0,0,0,9,542,6,1,2,3,0,0,0,0,0,0]","[2,0,540,0,0,0,4,5,8,4,0,0,0,0,0,0,0,0]",720,12.0,200.73611111111111,211.0,7.0,7.0,"[0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0]","[0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
