profile_id,source,segment,split,requests,pp_size,microbatch,prefill_forwards,decode_forwards,total_proxy_calls,max_prefill_batch_size,max_decode_batch_size,prefill_token_mass,decode_token_mass,scheduler_visits,mass_conservation,all_requests_complete
profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,120,2,1,120,4860,9960,1,1,61956,4860,5216,True,True
profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,120,2,4,105,1352,2914,4,4,61956,4860,1522,True,True
profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,120,2,16,65,425,980,9,17,61956,4860,496,True,True
profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,120,4,1,120,4860,9960,1,1,61956,4860,5400,True,True
profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,120,4,4,101,1404,3010,4,4,61956,4860,1620,True,True
profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,120,4,16,21,525,1092,10,17,61956,4860,552,True,True
profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,120,8,1,120,4860,9960,1,1,61956,4860,5784,True,True
profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,120,8,4,82,1554,3272,4,4,61956,4860,1800,True,True
profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,120,8,16,20,988,2016,10,17,61956,4860,1048,True,True
profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,2433,2,1,2433,23676,52218,1,1,452194,23676,28636,True,True
profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,2433,2,4,2058,6570,17256,4,4,452194,23676,8688,True,True
profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,2433,2,16,1104,1714,5636,16,17,452194,23676,2822,True,True
profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,2433,4,1,2433,23676,52218,1,1,452194,23676,28688,True,True
profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,2433,4,4,2091,6599,17380,4,4,452194,23676,8884,True,True
profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,2433,4,16,1002,1836,5676,16,16,452194,23676,2860,True,True
profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,2433,8,1,2433,23676,52218,1,1,452194,23676,28944,True,True
profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,2433,8,4,1967,6811,17556,4,4,452194,23676,8840,True,True
profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,2433,8,16,880,1992,5744,16,17,452194,23676,2888,True,True
profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,312,2,1,312,18659,37942,1,1,141706,18659,19362,True,True
profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,312,2,4,299,4824,10246,4,4,141706,18659,5214,True,True
profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,312,2,16,241,1332,3146,13,16,141706,18659,1596,True,True
profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,312,4,1,312,18659,37942,1,1,141706,18659,19520,True,True
profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,312,4,4,282,4907,10378,4,4,141706,18659,5372,True,True
profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,312,4,16,210,1441,3302,16,16,141706,18659,1736,True,True
profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,312,8,1,312,18659,37942,1,1,141706,18659,19976,True,True
profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,312,8,4,278,5074,10704,4,4,141706,18659,5704,True,True
profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,312,8,16,153,1605,3516,16,16,141706,18659,1944,True,True
profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,92,2,1,92,5660,11504,1,1,29214,5660,5916,True,True
profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,92,2,4,75,1513,3176,4,4,29214,5660,1592,True,True
profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,92,2,16,54,498,1104,7,16,29214,5660,562,True,True
profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,92,4,1,92,5660,11504,1,1,29214,5660,6160,True,True
profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,92,4,4,72,1675,3494,4,4,29214,5660,1760,True,True
profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,92,4,16,26,546,1144,12,16,29214,5660,580,True,True
profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,92,8,1,92,5660,11504,1,1,29214,5660,6144,True,True
profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,92,8,4,61,1787,3696,4,4,29214,5660,2088,True,True
profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,92,8,16,10,909,1838,16,16,29214,5660,1040,True,True
profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,157,2,1,157,7448,15210,1,1,125444,7448,7744,True,True
profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,157,2,4,148,1995,4286,4,4,125444,7448,2170,True,True
profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,157,2,16,106,596,1404,7,16,125444,7448,722,True,True
profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,157,4,1,157,7448,15210,1,1,125444,7448,7888,True,True
profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,157,4,4,138,1997,4270,4,4,125444,7448,2288,True,True
profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,157,4,16,91,719,1620,7,16,125444,7448,884,True,True
profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,157,8,1,157,7448,15210,1,1,125444,7448,8256,True,True
profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,157,8,4,127,2175,4604,4,4,125444,7448,2576,True,True
profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,157,8,16,39,983,2044,8,16,125444,7448,1072,True,True
profile_06_burstgpt_2_c0,burstgpt,burstgpt_2,validation,931,2,1,931,28842,59546,1,1,267614,28842,30660,True,True
profile_06_burstgpt_2_c0,burstgpt,burstgpt_2,validation,931,2,4,895,7551,16892,4,4,267614,28842,8474,True,True
profile_06_burstgpt_2_c0,burstgpt,burstgpt_2,validation,931,2,16,717,2014,5462,15,16,267614,28842,2740,True,True
