workload_id,fold,model,phase,mode,case_label,tp_variants_kept_together
deepseek-v2-lite-chunk-c1024-b1-l1023-m8,0,deepseek-v2-lite,prefill,chunked_prefill,c1024,"2,4,8"
deepseek-v2-lite-chunk-c1024-b1-l1024-m8,1,deepseek-v2-lite,prefill,chunked_prefill,c1024,"2,4,8"
deepseek-v2-lite-chunk-c1024-b1-l1025-m8,2,deepseek-v2-lite,prefill,chunked_prefill,c1024,"2,4,8"
deepseek-v2-lite-chunk-c1024-b4-l1023-m8,3,deepseek-v2-lite,prefill,chunked_prefill,c1024,"2,4,8"
deepseek-v2-lite-chunk-c1024-b4-l1024-m8,4,deepseek-v2-lite,prefill,chunked_prefill,c1024,"2,4,8"
deepseek-v2-lite-chunk-c1024-b4-l1025-m8,5,deepseek-v2-lite,prefill,chunked_prefill,c1024,"2,4,8"
deepseek-v2-lite-chunk-c4096-b1-l4095-m8,0,deepseek-v2-lite,prefill,chunked_prefill,c4096,"2,4,8"
deepseek-v2-lite-chunk-c4096-b1-l4096-m8,1,deepseek-v2-lite,prefill,chunked_prefill,c4096,"2,4,8"
deepseek-v2-lite-chunk-c4096-b1-l4097-m8,2,deepseek-v2-lite,prefill,chunked_prefill,c4096,"2,4,8"
deepseek-v2-lite-chunk-c4096-b4-l4095-m8,3,deepseek-v2-lite,prefill,chunked_prefill,c4096,"2,4,8"
deepseek-v2-lite-chunk-c4096-b4-l4096-m8,4,deepseek-v2-lite,prefill,chunked_prefill,c4096,"2,4,8"
deepseek-v2-lite-chunk-c4096-b4-l4097-m8,5,deepseek-v2-lite,prefill,chunked_prefill,c4096,"2,4,8"
deepseek-v2-lite-mixed-balanced,0,deepseek-v2-lite,decode,mixed_same_coarse,balanced,"2,4,8"
deepseek-v2-lite-mixed-bimodal,1,deepseek-v2-lite,decode,mixed_same_coarse,bimodal,"2,4,8"
deepseek-v2-lite-mixed-long_tail,2,deepseek-v2-lite,decode,mixed_same_coarse,long_tail,"2,4,8"
