topology,backend,op,algorithm,group_size,payload_scope,payload_bytes,repeats,pooled_samples,intrinsic_median_latency_us,intrinsic_p95_latency_us,intrinsic_p99_latency_us,intrinsic_latency_cv,repeat_median_cv,completion_median_latency_us,completion_p95_latency_us,rank_skew_median_us,rank_skew_p95_us,ring_equivalent_factor,ring_equivalent_bytes,algorithmic_bandwidth_GBps,ring_equivalent_bus_bandwidth_GBps
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,representative-rank-logical-input,8192,5,500,4.1599999999998545,4.8310500000001415,5.152320000000054,0.06228766136473117,0.0015372790161924765,7.951499999999669,11.844800000000209,3.7760000000025684,7.567949999999549,1.0,8192.0,1.9692307692308384,1.9692307692308384
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,representative-rank-logical-input,16384,5,500,4.1599999999998545,5.055050000000255,5.3759999999984025,0.07548249185772328,0.003058273295078455,7.519999999999072,10.85279999999993,3.3435000000008586,6.753600000000027,1.0,16384.0,3.938461538461677,3.938461538461677
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,representative-rank-logical-input,32768,5,500,4.191999999999524,5.057550000000491,5.312640000000351,0.07542711510247321,0.01134910877135835,7.711999999999534,10.98559999999965,3.6000000000001364,6.884799999999264,1.0,32768.0,7.816793893130659,7.816793893130659
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,representative-rank-logical-input,49152,5,500,4.192000000000007,5.153600000000004,5.3443100000009505,0.078459577989714,0.004594631698790073,7.856000000000222,11.369600000000528,3.680000000000291,7.135999999998694,1.0,49152.0,11.725190839694635,11.725190839694635
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,representative-rank-logical-input,65536,5,500,4.22400000000016,5.216000000000349,5.408319999999903,0.08286851918835483,0.008785508089903759,7.568499999999858,11.332850000000413,3.3914999999997235,7.049649999999102,1.0,65536.0,15.51515151515093,15.51515151515093
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,representative-rank-logical-input,131072,5,500,6.239999999999782,7.199999999999863,7.359999999998772,0.060332391635823636,0.004697668574959064,9.727999999999156,13.027199999999445,3.5199999999997544,6.881600000000979,1.0,131072.0,21.00512820512894,21.00512820512894
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,representative-rank-logical-input,262144,5,500,6.335999999999331,7.391999999999825,7.55199999999968,0.05966738216239729,0.002023267577135922,9.839999999999918,13.185550000000193,3.616000000000895,6.915149999998514,1.0,262144.0,41.37373737374175,41.37373737374175
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,representative-rank-logical-input,524288,5,500,6.783999999999651,7.90405000000037,8.128319999999722,0.062396835533395624,0.0029832808115137967,10.672000000000025,14.531200000000231,3.9834999999998217,7.718400000000207,1.0,524288.0,77.28301886792852,77.28301886792852
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,representative-rank-logical-input,1048576,5,500,7.584000000000742,9.056000000000063,9.248320000000493,0.07203659710595371,0.007678597125240646,11.77599999999984,16.06880000000028,4.3034999999999854,8.609599999998439,1.0,1048576.0,138.26160337551391,138.26160337551391
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,representative-rank-logical-input,2097152,5,500,10.528000000000247,11.615999999999985,11.808320000000894,0.045427935635876035,0.0064847119659934465,14.304000000000087,17.50559999999905,3.984000000001288,7.238399999999132,1.0,2097152.0,199.19756838905306,199.19756838905306
