window_id,source,segment,source_split,cutoff_ms,history_seconds,history_count,selection_cluster,selection_cluster_members,selection_distance_to_medoid_mean,role_order_sha256,role,profile_id
burstgpt_1-2237705000,burstgpt,burstgpt_1,train,2237705000,300,144,3,16,65.4520497556019,061a7827b8f850ae78966cbf3edf05611acdad3e2c1d514847c1c23d8e9e38dc,development_train,phase30_burstgpt_1_01
burstgpt_1-1908305000,burstgpt,burstgpt_1,train,1908305000,300,78,1,78,106.38732124868483,45944920c83cffe59216d684fb94415e27e8dbda040fb8c84b918cf08ddf85eb,development_train,phase30_burstgpt_1_02
burstgpt_1-1260605000,burstgpt,burstgpt_1,train,1260605000,300,2380,13,30,55.917757446620755,49248e603cadc535f689a7efbe6152c79924cf2bd93cec8e976012b8fd939c4b,development_train,phase30_burstgpt_1_03
burstgpt_1-2055905000,burstgpt,burstgpt_1,train,2055905000,300,51,11,142,106.98357467264383,4fb7a05297a5ae7135ac19674b0ab7c0df8fb4f8d560cb15781856d3f4afdde4,development_train,phase30_burstgpt_1_04
burstgpt_1-1809905000,burstgpt,burstgpt_1,train,1809905000,300,338,17,196,110.16581015025713,5b34254b5c314b0bd7a9fdab2b6bb472d6557c430117381fba29d72eeb2e2e41,development_train,phase30_burstgpt_1_05
burstgpt_1-1333205000,burstgpt,burstgpt_1,train,1333205000,300,78,8,38,171.91380561530715,62768ca978382069d889061ea329f527412d55ba30e9ca9edc8973910224c097,development_train,phase30_burstgpt_1_06
burstgpt_1-3006605000,burstgpt,burstgpt_1,train,3006605000,300,316,12,340,67.85575058124478,640b98a9b60e86cd3577db52f151447cb61dabcb2416d494b17e13927c67bb56,development_train,phase30_burstgpt_1_07
burstgpt_1-2484305000,burstgpt,burstgpt_1,train,2484305000,300,83,0,2406,55.04675188314246,6a218757a849e1ac2e5e8806f1d01cfb68c2c31123925cfa35ec4d1e9857e9dc,development_train,phase30_burstgpt_1_08
burstgpt_1-1864505000,burstgpt,burstgpt_1,train,1864505000,300,74,5,147,78.42512391714129,77969838c6acda1b93f60cb1a8875b19e9c6c4ef5c2c6b73df7fb66a1f19e5a5,development_train,phase30_burstgpt_1_09
burstgpt_1-4957205000,burstgpt,burstgpt_1,train,4957205000,300,511,14,398,38.426370256216195,7a723df51c99fb2b5aa28ee94773335449e4c25f731048c6e90d38b519e662fd,development_validation,phase30_burstgpt_1_10
burstgpt_1-1945805000,burstgpt,burstgpt_1,train,1945805000,300,217,7,4,38.877991849907495,88900b0bf47048e43ab1ff414ce0f5a8e045b81f3e32ec10193f89fb5ab38d60,development_validation,phase30_burstgpt_1_11
burstgpt_1-849905000,burstgpt,burstgpt_1,train,849905000,300,2959,4,7,2.548629790400054,9146a0d1b9bddbd1eee41211aa53d2114d4f17a43c034b9cacfea6b5fee6d66a,development_validation,phase30_burstgpt_1_12
burstgpt_1-1945205000,burstgpt,burstgpt_1,train,1945205000,300,67,2,4,318.8542954771558,a1e06526b0cfd636a3a0409fe5914de2ec9965de26899c00b979e5cda9e6e5c5,independent_confirmation,phase30_burstgpt_1_13
