profile_id,source,segment,split,window_id,cutoff_ms,cluster,cluster_members,cluster_weight_within_segment,distance_to_medoid_mean,request_count,rps,interarrival_cv,peak_to_mean_1s,fano_1s,input_mean_raw,input_p50_raw,input_p90_raw,input_p99_raw,output_mean_raw,output_p50_raw,output_p90_raw,output_p99_raw,input_mean_capped,output_mean_capped,lm_correlation_capped,survival_m_gt_8,survival_m_gt_16,survival_m_gt_32,survival_m_gt_64,representative_requests,representative_joint_l1,joint_lm_4x4_json
profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,burstgpt_1-3686705000,3686705000,0,4244,0.8398970908371265,494.0065195320673,120,0.4,2.074664892313425,7.5,1.1000000000000003,516.3,382.0,872.1000000000004,1827.3200000000002,86.825,3.0,282.3000000000002,690.25,516.3,41.5,0.6006588220098483,0.4666666666666667,0.45,0.4,0.2916666666666667,128,0.01979166666666665,"[0.008333333333333333,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.5333333333333333,0.008333333333333333,0.03333333333333333,0.08333333333333333,0.0,0.041666666666666664,0.058333333333333334,0.2,0.0,0.0,0.0,0.0]"
profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,burstgpt_1-851405000,851405000,1,51,0.010093014051058776,570.6124070815529,2433,8.11,3.042307467111731,1.9728729963008633,1.6166748869708183,185.85861076859842,86.0,102.0,3055.68,13.492807233867653,5.0,6.0,219.71999999999935,185.85861076859842,10.731196054254008,0.8066923535401606,0.053431976983148374,0.053431976983148374,0.052609946568023015,0.05137690094533498,128,0.010718505959720499,"[0.9465680230168516,0.0004110152075626798,0.0008220304151253596,0.0004110152075626798,0.0,0.0004110152075626798,0.0,0.01685162351006987,0.0,0.0,0.0,0.0008220304151253596,0.0,0.0,0.0,0.03370324702013974]"
profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,burstgpt_1-3864005000,3864005000,2,305,0.06036018207005739,5007.590724761658,312,1.04,0.9538400558938609,7.692307692307692,1.6715384615384614,454.18589743589746,86.0,1105.9,2798.23,88.7275641025641,36.0,222.30000000000024,505.9199999999996,454.18589743589746,60.80448717948718,0.6636498109913449,0.9839743589743589,0.9743589743589743,0.6282051282051282,0.3333333333333333,128,0.02764423076923077,"[0.0,0.28525641025641024,0.3301282051282051,0.01282051282051282,0.01282051282051282,0.0,0.003205128205128205,0.057692307692307696,0.01282051282051282,0.003205128205128205,0.016025641025641024,0.20512820512820512,0.0,0.0,0.0,0.060897435897435896]"
profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,burstgpt_1-1335605000,1335605000,3,75,0.01484266772214526,4531.411005069957,92,0.30666666666666664,1.951153360718372,22.826086956521742,4.410724637681159,317.54347826086956,105.0,1162.2000000000005,1903.97,128.66304347826087,23.0,334.30000000000007,628.36,317.54347826086956,62.52173913043478,0.48232529339864694,0.782608695652174,0.5543478260869565,0.4673913043478261,0.44565217391304346,128,0.01630434782608696,"[0.43478260869565216,0.07608695652173914,0.021739130434782608,0.10869565217391304,0.0,0.0,0.0,0.16304347826086957,0.0,0.010869565217391304,0.010869565217391304,0.17391304347826086,0.0,0.0,0.0,0.0]"
profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,burstgpt_1-3512405000,3512405000,4,378,0.07480704531961212,716.4851281768165,157,0.5233333333333333,0.7433660832148684,3.821656050955414,0.642271762208068,799.0063694267516,784.0,1258.6000000000001,1828.9999999999995,68.71337579617834,48.0,122.80000000000001,554.1599999999997,799.0063694267516,48.439490445859875,0.1343850248671876,0.6815286624203821,0.6178343949044586,0.5732484076433121,0.3630573248407643,128,0.028164808917197436,"[0.0,0.006369426751592357,0.006369426751592357,0.006369426751592357,0.08280254777070063,0.025477707006369428,0.08917197452229299,0.044585987261146494,0.2929936305732484,0.012738853503184714,0.10191082802547771,0.3248407643312102,0.006369426751592357,0.0,0.0,0.0]"
profile_06_burstgpt_2_c0,burstgpt,burstgpt_2,validation,burstgpt_2-7163114000,7163114000,0,6291,0.9724841552017314,269.66150470920473,931,3.1033333333333335,1.826984110779546,2.5778732545649836,1.4777622627998568,287.44790547798067,238.0,555.0,608.0,48.74650912996778,7.0,143.0,507.0,287.44790547798067,31.979591836734695,0.5920484638471978,0.42857142857142855,0.40171858216971,0.23952738990332975,0.20193340494092374,128,0.02457035445757256,"[0.0053705692803437165,0.034371643394199784,0.031149301825993556,0.007518796992481203,0.5778732545649838,0.12996777658431793,0.013963480128893663,0.03329752953813104,0.0021482277121374865,0.0010741138560687433,0.0021482277121374865,0.158968850698174,0.0,0.0,0.0,0.0021482277121374865]"
profile_07_burstgpt_2_c1,burstgpt,burstgpt_2,validation,burstgpt_2-6553214000,6553214000,1,11,0.0017004173751739063,10577.54794790557,196,0.6533333333333333,3.956491058928523,4.591836734693878,0.7650340136054421,636.6785714285714,580.5,831.0,1012.700000000002,38.275510204081634,21.0,62.5,327.2500000000014,636.6785714285714,31.836734693877553,0.33195912837186886,0.923469387755102,0.6275510204081632,0.37244897959183676,0.09183673469387756,128,0.025829081632653097,"[0.0,0.0,0.0,0.01020408163265306,0.20408163265306123,0.030612244897959183,0.00510204081632653,0.02040816326530612,0.1377551020408163,0.25510204081632654,0.27040816326530615,0.061224489795918366,0.0,0.0,0.0,0.00510204081632653]"
profile_08_burstgpt_2_c2,burstgpt,burstgpt_2,validation,burstgpt_2-7088114000,7088114000,2,2,0.0003091667954861648,0.0,44,0.14666666666666667,1.9998653386490983,6.818181818181818,0.8533333333333333,1978.8863636363637,2078.0,2190.1,2505.3,242.1818181818182,215.5,323.4,696.1300000000001,1978.8863636363637,126.04545454545455,0.6261288649201555,1.0,1.0,1.0,0.9772727272727273,128,0.005681818181818156,"[0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.9090909090909091]"
profile_09_burstgpt_2_c3,burstgpt,burstgpt_2,validation,burstgpt_2-6623414000,6623414000,3,80,0.012366671819446591,1983.4683928924765,248,0.8266666666666667,2.1798963531428446,7.258064516129032,3.931397849462366,899.241935483871,841.5,1529.3,1941.54,181.33467741935485,113.0,326.3,1166.74,899.241935483871,100.20161290322581,0.22937999062241907,0.9838709677419355,0.9556451612903226,0.9475806451612904,0.8467741935483871,128,0.017641129032258077,"[0.0,0.004032258064516129,0.004032258064516129,0.008064516129032258,0.03225806451612903,0.0,0.016129032258064516,0.07258064516129033,0.008064516129032258,0.008064516129032258,0.07661290322580645,0.7620967741935484,0.0,0.0,0.0,0.008064516129032258]"
profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,validation,burstgpt_2-6475514000,6475514000,4,85,0.013139588808162003,791.9789953892868,286,0.9533333333333334,0.5395302964568772,2.097902097902098,0.24946386946386945,137.993006993007,102.0,191.5,1275.6999999999919,24.47902097902098,14.0,37.5,222.54999999999688,137.993006993007,20.90909090909091,0.6203534464843155,0.9825174825174825,0.3776223776223776,0.13636363636363635,0.024475524475524476,128,0.021197552447552455,"[0.4020979020979021,0.24125874125874125,0.1048951048951049,0.006993006993006993,0.16433566433566432,0.045454545454545456,0.013986013986013986,0.0034965034965034965,0.0034965034965034965,0.0,0.0,0.013986013986013986,0.0,0.0,0.0,0.0]"
profile_11_burstgpt_3_c0,burstgpt,burstgpt_3,temporal_test,burstgpt_3-28033310000,28033310000,0,12107,0.9294487947182558,1642.813811360934,73,0.24333333333333335,0.8710429868081232,12.32876712328767,1.0580365296803653,998.1369863013699,1029.0,1984.1999999999998,2686.2800000000007,289.5753424657534,216.0,596.4,1039.1200000000013,998.1369863013699,101.12328767123287,0.06511216180799781,0.9726027397260274,0.8904109589041096,0.8493150684931506,0.7671232876712328,128,0.03360445205479451,"[0.0,0.0136986301369863,0.0136986301369863,0.0684931506849315,0.0273972602739726,0.0136986301369863,0.0410958904109589,0.1917808219178082,0.0684931506849315,0.0136986301369863,0.0273972602739726,0.4246575342465753,0.0136986301369863,0.0,0.0,0.0821917808219178]"
profile_12_burstgpt_3_c1,burstgpt,burstgpt_3,temporal_test,burstgpt_3-25730510000,25730510000,1,55,0.004222324581606019,5385.140850886489,74,0.24666666666666667,1.056443656690669,8.108108108108109,1.0236036036036036,60.810810810810814,39.0,51.7,476.0599999999969,29.527027027027028,6.0,13.700000000000003,714.1899999999996,60.810810810810814,12.31081081081081,0.6472081054737928,0.17567567567567569,0.0945945945945946,0.05405405405405406,0.05405405405405406,128,0.014358108108108142,"[0.9054054054054054,0.02702702702702703,0.0,0.013513513513513514,0.0,0.013513513513513514,0.0,0.02702702702702703,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0]"
profile_13_burstgpt_3_c2,burstgpt,burstgpt_3,temporal_test,burstgpt_3-25456310000,25456310000,2,149,0.011438661139259941,2637.262751776283,42,0.14,1.0782466941347901,14.285714285714285,0.9076190476190475,480.0238095238095,167.0,1214.0999999999997,3093.799999999998,127.73809523809524,32.0,365.49999999999994,854.369999999998,480.0238095238095,56.785714285714285,0.5051582446856322,0.8095238095238095,0.5952380952380952,0.4523809523809524,0.38095238095238093,128,0.019345238095238082,"[0.23809523809523808,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.11904761904761904,0.023809523809523808,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.0,0.047619047619047616,0.11904761904761904,0.0,0.0,0.0,0.07142857142857142]"
profile_14_burstgpt_3_c3,burstgpt,burstgpt_3,temporal_test,burstgpt_3-27904910000,27904910000,3,638,0.04897896514662982,1430.231702699758,48,0.16,1.4636997336043334,12.5,1.09,567.5833333333334,159.5,1363.100000000001,6153.96,102.9375,31.0,426.5,691.8300000000003,567.5833333333334,48.291666666666664,0.47991844459733995,0.9583333333333334,0.6041666666666666,0.4791666666666667,0.3541666666666667,128,0.031250000000000035,"[0.08333333333333333,0.08333333333333333,0.0625,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.020833333333333332,0.20833333333333334,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0625]"
profile_15_burstgpt_3_c4,burstgpt,burstgpt_3,temporal_test,burstgpt_3-19615610000,19615610000,4,77,0.005911254414248426,6617.635568314333,193,0.6433333333333333,1.6342277252223263,10.880829015544041,2.056148531951641,203.0984455958549,123.0,522.8000000000001,1025.1599999999999,14.901554404145077,3.0,31.600000000000023,202.31999999999994,203.0984455958549,13.067357512953368,0.8527630350775985,0.11398963730569948,0.11398963730569948,0.09844559585492228,0.07772020725388601,128,0.015220207253886009,"[0.5284974093264249,0.0,0.0,0.0,0.35751295336787564,0.0,0.0051813471502590676,0.0,0.0,0.010362694300518135,0.02072538860103627,0.07772020725388601,0.0,0.0,0.0,0.0]"
profile_16_mooncake_conversation_c0,mooncake,mooncake_conversation,external_test,mooncake_conversation-1860000,1860000,0,34,0.6415094339622641,7.738689991779264,1049,3.4966666666666666,3.113499315481731,5.719733079122975,8.048614553543059,11229.730219256435,6956.0,25756.800000000003,76203.75999999997,347.47473784556723,351.0,611.4000000000001,1128.8399999999997,5508.8627264061015,108.26692087702574,0.03540819082723275,0.9580552907530981,0.9237368922783603,0.871306005719733,0.8265014299332698,128,0.01589311248808389,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01811248808388942,0.016205910390848427,0.017159199237368923,0.18303145853193517,0.05433746425166826,0.037178265014299335,0.028598665395614873,0.6453765490943756]"
profile_17_mooncake_conversation_c1,mooncake,mooncake_conversation,external_test,mooncake_conversation-2700000,2700000,1,7,0.1320754716981132,4.101710769743816,1089,3.63,3.143246846384523,5.5096418732782375,8.029320477502296,10756.139577594124,6172.0,24051.600000000002,69849.07999999968,347.04866850321395,352.0,597.4000000000001,1197.7199999999884,5348.213039485767,109.78787878787878,0.03109012636168859,0.9614325068870524,0.9366391184573003,0.8879706152433425,0.852157943067034,128,0.0161415289256198,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013774104683195593,0.017447199265381085,0.008264462809917356,0.20752984389348025,0.048668503213957756,0.02938475665748393,0.030303030303030304,0.6446280991735537]"
