window_id,source,segment,source_split,cutoff_ms,history_seconds,history_count,request_count_stratum,selection_order_sha256,role_order_sha256,role,profile_id
burstgpt_1-690305000,burstgpt,burstgpt_1,train,690305000,300,33,0,0aa8f704aa84f3d767fe000cf16960191d3f4a58d43d0048dd2e215b35e37115,3b9f121a12ddaac334680a988b28dc633d0ed7a5272510a47ca662ab86e4276d,expanded_train,phase44_burstgpt_1_001
burstgpt_1-768905000,burstgpt,burstgpt_1,train,768905000,300,46,1,0934f3e744bf3cd907a4f208b6ae63f42b66001ef08667994fc6ac69b52178e9,c1d9c1555aa62ff112958c1c053c3c58dcf0885ef3a58be466272855680fd4f4,expanded_validation,phase44_burstgpt_1_002
burstgpt_1-770105000,burstgpt,burstgpt_1,train,770105000,300,66,2,1213ab191965c18f8c7d370ed7bfbce409f544860dfa47eb97528e2e03536acc,dcf2ccdda6d007fc940cd4f1b6515ddeda6e4648b5232964544374e79a440041,expanded_validation,phase44_burstgpt_1_003
burstgpt_1-813605000,burstgpt,burstgpt_1,train,813605000,300,38,0,0cfed09db359a2cb8c95bf0e8034c383245d96162a432b9c7d83299a790fe5f1,c6d4eaa2de3cbe6313399d0f0572c600fdf2f722011e7fc9ee3b1a402693355d,expanded_train,phase44_burstgpt_1_004
burstgpt_1-826505000,burstgpt,burstgpt_1,train,826505000,300,949,9,149f5dd30f78f2973230d59059653b1bd085ec0801a5b084647f4d6b4ab220b5,f043ce682f6a39a69be318f693b8a8aad38db6060c00f010379219017f75b650,expanded_validation,phase44_burstgpt_1_005
burstgpt_1-829505000,burstgpt,burstgpt_1,train,829505000,300,140,4,0080d99561a60b9d543c385559729fb1b49aebc61b17f310ca8ab32beeef5266,f5a595ee672ea661da648e9868df3ebf2fcaa81013ebc9232fbe3f25e4872bfd,expanded_validation,phase44_burstgpt_1_006
burstgpt_1-831305000,burstgpt,burstgpt_1,train,831305000,300,119,4,15ac48513fe98ae6a1749e28aa09ce0e07b35b599417c9ce51e71532e83b0ce9,962c45681f60d37e116c35977da8c77a38866af549b0f0293d0d9565eb1eff12,expanded_train,phase44_burstgpt_1_007
burstgpt_1-837905000,burstgpt,burstgpt_1,train,837905000,300,107,4,0e12e5f863ba59dfe586e3df10e1285e0fc22817e6d41a1dac56474401c1f864,9090afa810cd3b6152823847a0c7b216157804d90389114addea9b0bc9bd71e7,expanded_train,phase44_burstgpt_1_008
burstgpt_1-845405000,burstgpt,burstgpt_1,train,845405000,300,2990,9,05836268c7b2ce00dbd6fb11c0811a5bcd3a3058d4c7b834eebb15d9ca295597,5018d29693d8797df151e762783e9f099a585400d36d9cd80e5726c00955741f,expanded_train,phase44_burstgpt_1_009
burstgpt_1-845705000,burstgpt,burstgpt_1,train,845705000,300,3016,9,0fcdd6fb25a0c709ab6d6357ec52f8a4b4103e10706f96bcbc18d2c5244c23d5,d836bd380e84cd4518f32900ea67ded44ba02771ad9e3870992cae4fbba55264,expanded_validation,phase44_burstgpt_1_010
burstgpt_1-849305000,burstgpt,burstgpt_1,train,849305000,300,3029,9,1110de3656be6d40846149c68f6a02070486eb18062deb493959e9a9f18f4ab3,b9b539d14d0e7969278acb121044b2973d5682069d8192b9b13b419eedcc0f3b,expanded_train,phase44_burstgpt_1_011
burstgpt_1-850505000,burstgpt,burstgpt_1,train,850505000,300,1922,9,01f32c8fb49c24194f34b52ba944fa532631c4407fe5551414d3a533c6a17664,a9d1675f446128d5cdc55259486f4271e093ca7869e1bdb04cb3cc676bafc635,expanded_train,phase44_burstgpt_1_012
burstgpt_1-852605000,burstgpt,burstgpt_1,train,852605000,300,1016,9,049e978addc1b16aa5bec8c376e5367f00956bdb2e6c6ec08d91e1ff07129e31,30893755e6b77e7870812362b66bf432614628097aee22b144850ac72b677ce4,expanded_train,phase44_burstgpt_1_013
