split_role,segment,profiles,requests_total,requests_min,requests_median,requests_max
development_train,burstgpt_1,24,9988,32,155.5,2959
development_train,burstgpt_2,24,10118,37,320.0,1470
development_train,burstgpt_3,24,5433,32,52.5,1319
development_train,mooncake_conversation,1,1093,1093,1093,1093
development_train,mooncake_synthetic,1,1215,1215,1215,1215
development_train,mooncake_toolagent,1,2178,2178,2178,2178
development_validation,burstgpt_1,6,3450,64,236.0,2380
development_validation,burstgpt_2,6,759,34,87.0,364
development_validation,burstgpt_3,6,372,35,52.0,125
development_validation,mooncake_conversation,1,918,918,918,918
