profile_id,request_count_match,structured_fields_match,max_saved_profile_absolute_difference
phase31_burstgpt_1_005,True,True,0.0
phase31_burstgpt_1_013,True,True,0.0
phase31_burstgpt_1_008,True,True,0.0
phase31_burstgpt_1_007,True,True,0.0
phase31_burstgpt_1_010,True,True,0.0
phase31_burstgpt_1_003,True,True,0.0
phase31_burstgpt_1_012,True,True,0.0
phase31_burstgpt_1_015,True,True,0.0
phase31_burstgpt_1_014,True,True,0.0
phase31_burstgpt_1_002,True,True,0.0
phase31_burstgpt_1_001,True,True,0.0
phase31_burstgpt_1_006,True,True,0.0
phase31_burstgpt_1_011,True,True,0.0
phase31_burstgpt_1_009,True,True,0.0
phase31_burstgpt_1_004,True,True,0.0
phase31_burstgpt_2_028,True,True,0.0
phase31_burstgpt_2_025,True,True,0.0
phase31_burstgpt_2_022,True,True,0.0
phase31_burstgpt_2_033,True,True,0.0
phase31_burstgpt_2_020,True,True,0.0
phase31_burstgpt_2_024,True,True,0.0
phase31_burstgpt_2_026,True,True,0.0
phase31_burstgpt_2_030,True,True,0.0
phase31_burstgpt_2_019,True,True,0.0
phase31_burstgpt_2_032,True,True,0.0
phase31_burstgpt_2_027,True,True,0.0
phase31_burstgpt_2_031,True,True,0.0
phase31_burstgpt_2_023,True,True,0.0
phase31_burstgpt_2_021,True,True,0.0
phase31_burstgpt_2_029,True,True,0.0
phase31_burstgpt_3_050,True,True,0.0
phase31_burstgpt_3_045,True,True,0.0
phase31_burstgpt_3_040,True,True,0.0
phase31_burstgpt_3_043,True,True,0.0
phase31_burstgpt_3_037,True,True,0.0
phase31_burstgpt_3_047,True,True,0.0
phase31_burstgpt_3_038,True,True,0.0
phase31_burstgpt_3_041,True,True,0.0
phase31_burstgpt_3_039,True,True,0.0
phase31_burstgpt_3_049,True,True,0.0
phase31_burstgpt_3_048,True,True,0.0
phase31_burstgpt_3_044,True,True,0.0
phase31_burstgpt_3_046,True,True,0.0
phase31_burstgpt_3_042,True,True,0.0
phase31_burstgpt_3_051,True,True,0.0
phase31_mooncake_conversation_056,True,True,0.0
phase31_mooncake_conversation_055,True,True,0.0
phase31_mooncake_synthetic_059,True,True,0.0
phase31_mooncake_toolagent_058,True,True,0.0
phase33_burstgpt_1_development_train_10,True,True,0.0
phase33_burstgpt_1_development_validation_02,True,True,0.0
phase33_burstgpt_1_development_train_03,True,True,0.0
phase33_burstgpt_1_development_train_08,True,True,0.0
phase33_burstgpt_1_development_validation_01,True,True,0.0
phase33_burstgpt_1_development_validation_03,True,True,0.0
phase33_burstgpt_1_development_train_07,True,True,0.0
phase33_burstgpt_1_development_train_02,True,True,0.0
phase33_burstgpt_1_development_train_04,True,True,0.0
phase33_burstgpt_1_development_train_11,True,True,0.0
phase33_burstgpt_1_development_train_06,True,True,0.0
phase33_burstgpt_1_development_train_05,True,True,0.0
phase33_burstgpt_1_development_train_01,True,True,0.0
phase33_burstgpt_1_development_train_09,True,True,0.0
phase33_burstgpt_1_development_train_12,True,True,0.0
phase33_burstgpt_2_development_validation_03,True,True,0.0
phase33_burstgpt_2_development_train_02,True,True,0.0
phase33_burstgpt_2_development_train_06,True,True,0.0
phase33_burstgpt_2_development_train_10,True,True,0.0
phase33_burstgpt_2_development_train_01,True,True,0.0
phase33_burstgpt_2_development_validation_01,True,True,0.0
phase33_burstgpt_2_development_train_07,True,True,0.0
phase33_burstgpt_2_development_train_04,True,True,0.0
phase33_burstgpt_2_development_train_09,True,True,0.0
phase33_burstgpt_2_development_train_08,True,True,0.0
phase33_burstgpt_2_development_train_12,True,True,0.0
phase33_burstgpt_2_development_validation_02,True,True,0.0
phase33_burstgpt_2_development_train_03,True,True,0.0
phase33_burstgpt_2_development_train_11,True,True,0.0
phase33_burstgpt_2_development_train_05,True,True,0.0
phase33_burstgpt_3_development_train_05,True,True,0.0
phase33_burstgpt_3_development_validation_03,True,True,0.0
phase33_burstgpt_3_development_train_08,True,True,0.0
phase33_burstgpt_3_development_train_04,True,True,0.0
phase33_burstgpt_3_development_train_10,True,True,0.0
phase33_burstgpt_3_development_train_07,True,True,0.0
phase33_burstgpt_3_development_train_06,True,True,0.0
phase33_burstgpt_3_development_train_12,True,True,0.0
phase33_burstgpt_3_development_train_11,True,True,0.0
phase33_burstgpt_3_development_validation_02,True,True,0.0
phase33_burstgpt_3_development_validation_01,True,True,0.0
phase33_burstgpt_3_development_train_01,True,True,0.0
phase33_burstgpt_3_development_train_03,True,True,0.0
phase33_burstgpt_3_development_train_09,True,True,0.0
phase33_burstgpt_3_development_train_02,True,True,0.0
