profile_id,role,window_id,source,segment,source_split,cutoff_ms,history_seconds,history_count,alignment_source
phase28_burstgpt_1_01,second_independent_confirmation,burstgpt_1-4228505000,burstgpt,burstgpt_1,train,4228505000,300,38,phase28_pp_contract
phase28_burstgpt_1_02,second_independent_confirmation,burstgpt_1-1861205000,burstgpt,burstgpt_1,train,1861205000,300,63,phase28_pp_contract
phase28_burstgpt_1_03,second_independent_confirmation,burstgpt_1-1991405000,burstgpt,burstgpt_1,train,1991405000,300,118,phase28_pp_contract
phase28_burstgpt_2_01,second_independent_confirmation,burstgpt_2-6627314000,burstgpt,burstgpt_2,validation,6627314000,300,888,phase28_pp_contract
phase28_burstgpt_2_02,second_independent_confirmation,burstgpt_2-6371414000,burstgpt,burstgpt_2,validation,6371414000,300,807,phase28_pp_contract
phase28_burstgpt_2_03,second_independent_confirmation,burstgpt_2-9846014000,burstgpt,burstgpt_2,test,9846014000,300,38,phase28_pp_contract
phase28_burstgpt_3_01,second_independent_confirmation,burstgpt_3-23735210000,burstgpt,burstgpt_3,temporal_test,23735210000,300,216,phase28_pp_contract
phase28_burstgpt_3_02,second_independent_confirmation,burstgpt_3-27629210000,burstgpt,burstgpt_3,temporal_test,27629210000,300,59,phase28_pp_contract
phase28_burstgpt_3_03,second_independent_confirmation,burstgpt_3-20342810000,burstgpt,burstgpt_3,temporal_test,20342810000,300,462,phase28_pp_contract
phase28_mooncake_conversation_01,second_independent_confirmation,mooncake_conversation-1800000,mooncake,mooncake_conversation,external_test,1800000,300,1054,phase28_pp_contract
phase28_mooncake_conversation_02,second_independent_confirmation,mooncake_conversation-600000,mooncake,mooncake_conversation,external_test,600000,300,832,phase28_pp_contract
phase28_mooncake_conversation_03,second_independent_confirmation,mooncake_conversation-3180000,mooncake,mooncake_conversation,external_test,3180000,300,1150,phase28_pp_contract
phase28_mooncake_conversation_04,second_independent_confirmation,mooncake_conversation-1020000,mooncake,mooncake_conversation,external_test,1020000,300,925,phase28_pp_contract
phase28_mooncake_synthetic_01,second_independent_confirmation,mooncake_synthetic-480000,mooncake,mooncake_synthetic,external_synthetic,480000,300,1150,phase28_pp_contract
phase28_mooncake_toolagent_01,second_independent_confirmation,mooncake_toolagent-1620000,mooncake,mooncake_toolagent,external_test,1620000,300,2004,phase28_pp_contract
phase28_mooncake_toolagent_02,second_independent_confirmation,mooncake_toolagent-480000,mooncake,mooncake_toolagent,external_test,480000,300,1697,phase28_pp_contract
phase28_mooncake_toolagent_03,second_independent_confirmation,mooncake_toolagent-1020000,mooncake,mooncake_toolagent,external_test,1020000,300,1798,phase28_pp_contract
phase28_mooncake_toolagent_04,second_independent_confirmation,mooncake_toolagent-2640000,mooncake,mooncake_toolagent,external_test,2640000,300,2141,phase28_pp_contract
