file,bytes,sha256,branch,commit
phase34c_pp_predictions.csv.gz,318113,4fc00d2f2378c065f29db74eb5c138455b99f4727802888a1eb4b71ab6e320bb,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase34c_tp_predictions.csv.gz,293619,a2b4d04adc7a0311179fd46d805cfcf13cdc0382f5a89d8da632d0e2143a554d,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase34d_aggregate_metrics.csv,148372,bce14bd53f4759ca5cc7ca50422bc40661d71c5e961dfd945d78820dd757f01a,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase34d_per_case_metrics.csv.gz,1388225,ef640a098079d906c2b86d85304daf3f9b06ce1414baccfc06c40ac7d1c4c650,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase34d_targets.csv.gz,98576,ebe0b83adcd94ca3a474d04f8ae7e8d5c32cba0121482f340e5c85ef6f5ab161,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase39_cost_metrics.csv,62016,c89ba506d08f33c351d12da7ccd46665f60fe28262c5a73fa870cbc294e6aafd,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase39_physical_curves.json,370950,2687e6f4b779354666076aca0befe2c3603038571b21f47212a6e2ae9d5c924e,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase49_predictions.csv.gz,500371,db7278d2ca54f0f2a2c9f3170063e2530dde1b6fabf8a03b8ad827a4865eb402,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase50_aggregate_metrics.csv,666,6a8c47779a0541bda47f8a698881dfc7cca0a4c7a90459eeedbfb7bbdca5e035,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase50_model_metrics.json,7743,c2841e91d75b31269bde9dc63761e55ff3cf8799fc30e6d0cd1c40f7f4b9bbc8,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase50_per_unit_metrics.csv.gz,215391,443ff67eedbbdcb7de35ba6f48baab5f78fd63cb9c955562952a2b6bd77b0a1c,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase50_targets.csv.gz,172714,cfaee9add708ab0f4fc8757ed4cf778fba97b960ec2c4ee8dc4c8320875005ce,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase51_curve_knots.csv,46423,f9312de71138f30e4f56b8b241ebeb4c31922b4a0afe57bd2b464730c5309955,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase51_pd_physical_curves.json,1019181,e2278ced7d7ef9743b86df41c9f6d70661b4d2d95514ce28bf7031c6b26e841d,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase51_summary.json,1264,ab336e7506180e0b3810dc8748aa33addd5199b80e2ae6ad954c0bc58c85a913,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase52_cost_metrics.csv,8583,5f0c4d32cb8de275fe96f709df31609a5bbfe684b4e2795d0290e962a942af55,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase52_summary.json,5469,a276b515b36a824f293a20dce8559efc579d9075ce753b666a56b4ba32d0b673,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
phase53_summary.json,1802,9d74e4a70b365d261a7a4b735c73b29a51c62660f4a3a0ec249a71576a0f83b4,experiment/pattern-demand-v0.5.15-clean,ffb413ffec69fd2f87bc958ed73f618696457baa
