phase27_role,segment,profiles,requests_total,requests_min,requests_median,requests_max,multichunk_fraction_mean,multichunk_fraction_max
development_train,burstgpt_1,5,1684,81,307,637,0.0,0.0
development_train,burstgpt_2,5,1789,44,78,951,0.0,0.0
development_train,burstgpt_3,5,2236,47,86,1054,0.003278688524590164,0.01639344262295082
development_train,mooncake_conversation,5,5003,840,1017,1123,0.6604328362896184,0.6989130434782609
development_train,mooncake_synthetic,5,5991,1163,1199,1229,0.618503784620015,0.7241659886086249
development_train,mooncake_toolagent,5,9891,1774,1973,2184,0.7177467137212645,0.7423900789177001
development_validation,burstgpt_1,2,247,109,123.5,138,0.0,0.0
development_validation,burstgpt_2,2,116,35,58.0,81,0.020458553791887123,0.02857142857142857
development_validation,burstgpt_3,2,95,42,47.5,53,0.009433962264150943,0.018867924528301886
development_validation,mooncake_conversation,2,2132,1039,1066.0,1093,0.6469342486573497,0.6605672461116194
development_validation,mooncake_synthetic,2,2306,1091,1153.0,1215,0.5891272778022956,0.6897119341563785
development_validation,mooncake_toolagent,2,4148,2045,2074.0,2103,0.7020612072403261,0.7046454767726161
independent_confirmation,burstgpt_1,3,530,69,171,290,0.0,0.0
independent_confirmation,burstgpt_2,3,169,43,53,73,0.007751937984496124,0.023255813953488372
independent_confirmation,burstgpt_3,3,1623,53,350,1220,0.0019047619047619048,0.005714285714285714
independent_confirmation,mooncake_conversation,3,3041,971,973,1097,0.6679561005227725,0.6916752312435765
independent_confirmation,mooncake_synthetic,3,3401,1118,1121,1162,0.484261678828632,0.5086058519793459
independent_confirmation,mooncake_toolagent,3,5872,1704,2072,2096,0.7029063464527393,0.7153755868544601
