comparison,model,batch_size,input_len,logical_payload_bytes,left_workload_id,right_workload_id,left_split,right_split,both_test,left_case,right_case,left_calls,right_calls,left_payload_supports,right_payload_supports,left_op_payload_histogram_json,right_op_payload_histogram_json,left_post_us,right_post_us,measured_time_ratio_max_over_min,measured_absolute_difference_us,total_bytes_only_left_us,total_bytes_only_right_us,total_bytes_only_time_ratio_max_over_min,three_hard_bins_left_us,three_hard_bins_right_us,three_hard_bins_time_ratio_max_over_min,continuous_histogram_left_us,continuous_histogram_right_us,continuous_histogram_time_ratio_max_over_min,continuous_histogram_dnn_residual_left_us,continuous_histogram_dnn_residual_right_us,continuous_histogram_dnn_residual_time_ratio_max_over_min
chunked_prefill,deepseek-v2-lite,1,2047,461148160,deepseek-v2-lite-chunk-c1024-b1-l2047-m8-9fe316,deepseek-v2-lite-chunk-c2048-b1-l2047-m8-9fe316,validation,train,False,c1024,c2048,110,55,2,1,"{""all_reduce:4190208"":55,""all_reduce:4194304"":55}","{""all_reduce:8384512"":55}",1689.9736328125,1285.119140625,1.3150326529185494,404.8544921875,1515.019357552468,1515.019357552468,1.0,1757.0270426717761,1220.5133382697531,1.4395803696521707,1877.8743457405076,1334.7174997824834,1.40694517457555,1668.7730411351376,1285.0905749336362,1.2985645320924677
chunked_prefill,deepseek-v2-lite,1,2048,461373440,deepseek-v2-lite-chunk-c1024-b1-l2048-m8-9fe316,deepseek-v2-lite-chunk-c2048-b1-l2048-m8-9fe316,train,test,False,c1024,c2048,110,55,1,1,"{""all_reduce:4194304"":110}","{""all_reduce:8388608"":55}",1711.3798828125,1285.02783203125,1.3317842930353603,426.35205078125,1515.6652861797763,1515.6652861797763,1.0,1757.8501796196329,1221.0666615404932,1.4396021404776833,1878.1319266062683,1334.996477560658,1.406844106463893,1710.8254365255239,1285.3553683633174,1.3310135691921297
chunked_prefill,deepseek-v2-lite,1,2049,461598720,deepseek-v2-lite-chunk-c1024-b1-l2049-m8-9fe316,deepseek-v2-lite-chunk-c2048-b1-l2049-m8-9fe316,train,train,False,c1024,c2048,165,110,2,2,"{""all_reduce:4096"":55,""all_reduce:4194304"":110}","{""all_reduce:4096"":55,""all_reduce:8388608"":55}",1989.68359375,1591.77197265625,1.2499802911027136,397.91162109375,1516.3111746793045,1516.3111746793045,1.0,1989.153212644452,1381.7381599505154,1.4396021404776793,2298.570158993907,1755.4347099482968,1.3094022500339004,1989.082578858791,1591.041372961015,1.2501765275638306
chunked_prefill,deepseek-v2-lite,1,4095,922521600,deepseek-v2-lite-chunk-c2048-b1-l4095-m8-9fe316,deepseek-v2-lite-chunk-c4096-b1-l4095-m8-9fe316,validation,train,False,c2048,c4096,110,55,2,1,"{""all_reduce:8384512"":55,""all_reduce:8388608"":55}","{""all_reduce:16773120"":55}",2572.36865234375,2062.8203125,1.2470153782935225,509.54833984375,2774.8494180016514,2774.8494180016514,1.0,2433.641557803421,2322.7675211254864,1.0477335917906287,2669.7139773431413,2082.601779871863,1.2819128472594514,2562.430313125794,2063.024213467705,1.2420747640274397
chunked_prefill,deepseek-v2-lite,1,4096,922746880,deepseek-v2-lite-chunk-c2048-b1-l4096-m8-9fe316,deepseek-v2-lite-chunk-c4096-b1-l4096-m8-9fe316,validation,test,False,c2048,c4096,110,55,1,1,"{""all_reduce:8388608"":110}","{""all_reduce:16777216"":55}",2565.01318359375,2059.4599609375,1.2454785391535914,505.55322265625,2775.440811378881,2775.440811378881,1.0,2434.193077177019,2323.2939138821175,1.0477335917906287,2669.992955121316,2082.8652267137636,1.2818846466287652,2563.789052551974,2063.3146995113398,1.242558419788878
chunked_prefill,deepseek-v2-lite,1,4097,922972160,deepseek-v2-lite-chunk-c2048-b1-l4097-m8-9fe316,deepseek-v2-lite-chunk-c4096-b1-l4097-m8-9fe316,train,train,False,c2048,c4096,165,110,2,2,"{""all_reduce:4096"":55,""all_reduce:8388608"":110}","{""all_reduce:4096"":55,""all_reduce:16777216"":55}",2859.39453125,2306.1025390625,1.2399251476529876,553.2919921875,2776.032186385915,2776.032186385915,1.0,2754.4912733753467,2628.999676022398,1.047733591790629,3090.4311875089547,2503.3034591014025,1.2345411724946485,2858.6524898141865,2306.5242847941186,1.239376714418314
chunked_prefill,deepseek-v2-lite,4,2047,1844592640,deepseek-v2-lite-chunk-c1024-b4-l2047-m8-0d8dda,deepseek-v2-lite-chunk-c2048-b4-l2047-m8-0d8dda,train,train,False,c1024,c2048,110,55,2,1,"{""all_reduce:16760832"":55,""all_reduce:16777216"":55}","{""all_reduce:33538048"":55}",4123.0146484375,4684.26513671875,1.1361262416309743,561.25048828125,5080.138052699892,5080.138052699892,1.0,4629.38137333215,4418.471842083742,1.0477335917906279,4164.676279884322,4618.12837471066,1.1088805141990372,4123.701433777269,4684.151491747264,1.1359094655542579
chunked_prefill,deepseek-v2-lite,4,2048,1845493760,deepseek-v2-lite-chunk-c1024-b4-l2048-m8-0d8dda,deepseek-v2-lite-chunk-c2048-b4-l2048-m8-0d8dda,train,validation,False,c1024,c2048,110,55,1,1,"{""all_reduce:16777216"":110}","{""all_reduce:33554432"":55}",4125.47607421875,4680.95361328125,1.1346456818726531,555.4775390625,5082.303969978705,5082.303969978705,1.0,4631.480116841835,4420.474969144018,1.0477335917906296,4165.730453427527,4619.189444067483,1.1088546164255189,4126.383563049263,4685.288470426409,1.1354466686960465
chunked_prefill,deepseek-v2-lite,4,2049,1846394880,deepseek-v2-lite-chunk-c1024-b4-l2049-m8-0d8dda,deepseek-v2-lite-chunk-c2048-b4-l2049-m8-0d8dda,train,train,False,c1024,c2048,165,110,2,2,"{""all_reduce:16384"":55,""all_reduce:16777216"":110}","{""all_reduce:16384"":55,""all_reduce:33554432"":55}",4482.052734375,5021.58203125,1.1203754906177459,539.529296875,5084.4697527017015,5084.4697527017015,1.0,4817.670138832054,4598.182378211642,1.0477335917906279,4563.352978429702,5016.811969069658,1.0993696943417242,4480.116872066118,5021.191235870946,1.1207723769838394
chunked_prefill,deepseek-v2-lite,4,4095,3690086400,deepseek-v2-lite-chunk-c2048-b4-l4095-m8-0d8dda,deepseek-v2-lite-chunk-c4096-b4-l4095-m8-0d8dda,train,validation,False,c2048,c4096,110,55,2,1,"{""all_reduce:33538048"":55,""all_reduce:33554432"":55}","{""all_reduce:67092480"":55}",9358.98291015625,8369.2412109375,1.1182594304875915,989.74169921875,9304.579547869766,9304.579547869766,1.0,8810.208268792796,8408.824855692294,1.047733591790628,9237.317818778141,8206.679796335753,1.1255852607899437,9352.545947800529,8356.899717932152,1.119140621938053
